"11/21/2017 14:43:46",2717,"11/21/2017 14:43:51",13010,"11/21/2017 14:44:04","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 14-42-40.png",,,
"11/21/2017 14:51:27",1577,"11/21/2017 14:51:30",7564,"11/21/2017 14:51:38","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 14-51-17.png",,,
"11/21/2017 14:59:53",7755,"11/21/2017 15:00:03",31020,"11/21/2017 15:00:34","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 14-58-33.png",,,
"11/21/2017 15:08:21",1494,"11/21/2017 15:08:24",7426,"11/21/2017 15:08:32","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-08-11.png",,,
"11/21/2017 15:15:39",2716,"11/21/2017 15:15:44",13338,"11/21/2017 15:15:57","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-15-27.png",,,
"11/21/2017 15:33:05",2695,"11/21/2017 15:33:10",18197,"11/21/2017 15:33:28","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-32-55.png",,,
"11/21/2017 15:40:54",1507,"11/21/2017 15:40:57",7371,"11/21/2017 15:41:05","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-40-43.png",,,
"11/21/2017 15:48:12",2640,"11/21/2017 15:48:16",13231,"11/21/2017 15:48:29","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-48-01.png",,,
"11/21/2017 15:55:41",1488,"11/21/2017 15:55:44",7618,"11/21/2017 15:55:52","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 15-55-30.png",,,
"11/21/2017 16:02:59",2699,"11/21/2017 16:03:03",13129,"11/21/2017 16:03:16","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-02-48.png",,,
"11/21/2017 16:10:25",5619,"11/21/2017 16:10:32",20335,"11/21/2017 16:10:53","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-10-13.png",,,
"11/21/2017 16:28:11",2588,"11/21/2017 16:28:15",12799,"11/21/2017 16:28:28","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-27-59.png",,,
"11/21/2017 16:35:35",1548,"11/21/2017 16:35:39",7142,"11/21/2017 16:35:46","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-35-25.png",,,
"11/21/2017 16:38:01",1666,"11/21/2017 16:38:05",8547,"11/21/2017 16:38:13","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-37-51.png",,,
"11/21/2017 16:55:27",2983,"11/21/2017 16:55:32",17515,"11/21/2017 16:55:49","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 16-55-17.png",,,
"11/21/2017 17:03:02",1507,"11/21/2017 17:03:05",7093,"11/21/2017 17:03:13","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-02-51.png",,,
"11/21/2017 17:10:21",2533,"11/21/2017 17:10:25",13135,"11/21/2017 17:10:38","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-10-09.png",,,
"11/21/2017 17:17:48",1542,"11/21/2017 17:17:51",8330,"11/21/2017 17:18:00","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-17-37.png",,,
"11/21/2017 17:25:11",2507,"11/21/2017 17:25:16",11574,"11/21/2017 17:25:27","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-25-01.png",,,
"11/21/2017 17:32:33",3015,"11/21/2017 17:32:38",18871,"11/21/2017 17:32:57","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-32-22.png",,,
"11/21/2017 17:40:32",2595,"11/21/2017 17:40:37",11414,"11/21/2017 17:40:48","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-40-22.png",,,
"11/21/2017 17:47:55",1486,"11/21/2017 17:47:59",7141,"11/21/2017 17:48:06","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 17-47-44.png",,,
"11/21/2017 18:05:13",2927,"11/21/2017 18:05:18",18909,"11/21/2017 18:05:36","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 18-05-02.png",,,
"11/21/2017 18:13:08",5699,"11/21/2017 18:13:16",7626,"11/21/2017 18:13:24","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 18-12-58.png",,,
"11/21/2017 18:20:31",2599,"11/21/2017 18:20:35",11419,"11/21/2017 18:20:47","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 18-20-20.png",,,
"11/21/2017 20:46:55",3701,"11/21/2017 20:47:01",18400,"11/21/2017 20:47:20","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 20-46-45.png",,,
"11/21/2017 20:58:10",3020,"11/21/2017 20:58:15",13015,"11/21/2017 20:58:28","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 20-58-00.png",,,
"11/21/2017 21:05:36",1487,"11/21/2017 21:05:39",7337,"11/21/2017 21:05:47","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 21-05-24.png",,,
"11/21/2017 21:22:56",5609,"11/21/2017 21:23:04",18424,"11/21/2017 21:23:22","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 21-22-46.png",,,
"11/21/2017 21:30:34",7518,"11/21/2017 21:30:44",7730,"11/21/2017 21:30:52","D:\code\cc-script_0.0.6\tp1.3.labs.11-21-2017 21-30-23.png",,,
