"chrome","06/27/2018 21:46:12",595
"ie","06/27/2018 21:54:21",4884
"chrome","06/27/2018 21:56:18",690
"ie","06/27/2018 22:04:01",5713
"chrome","06/27/2018 22:05:42",742
"ie","06/27/2018 22:13:26",5156
"chrome","06/27/2018 22:15:07",952
"ie","06/27/2018 22:22:55",4757
"chrome","06/27/2018 22:25:00",755
"ie","06/27/2018 22:32:44",5008
"chrome","06/27/2018 22:34:41",660
"chrome","06/27/2018 22:42:28",721
"ie","06/27/2018 22:43:38",4959
"chrome","06/27/2018 22:51:54",655
"ie","06/27/2018 22:53:06",4664
"chrome","06/27/2018 23:01:20",676
"ie","06/27/2018 23:02:57",5234
"chrome","06/27/2018 23:11:11",641
"ie","06/27/2018 23:12:37",5016
"ie","06/27/2018 23:20:52",4968
"chrome","06/27/2018 23:22:34",742
"ie","06/27/2018 23:30:19",5515
"chrome","06/27/2018 23:32:11",655
"ie","06/27/2018 23:40:24",5130
"chrome","06/27/2018 23:42:06",665
"chrome","06/27/2018 23:50:09",891
"ie","06/27/2018 23:51:20",5119
"ie","06/27/2018 23:59:34",4380
"chrome","06/28/2018 00:01:34",748
"ie","06/28/2018 00:09:29",5535
"chrome","06/28/2018 00:11:47",750
"ie","06/28/2018 00:19:31",5761
"chrome","06/28/2018 00:21:17",631
"ie","06/28/2018 00:29:01",5648
"chrome","06/28/2018 00:30:44",625
"ie","06/28/2018 00:38:25",4999
"chrome","06/28/2018 00:40:08",592
"chrome","06/28/2018 00:48:28",792
"ie","06/28/2018 00:49:38",4815
"chrome","06/28/2018 00:57:55",604
"ie","06/28/2018 00:59:05",4906
"ie","06/28/2018 01:07:18",4726
"chrome","06/28/2018 01:09:29",776
"chrome","06/28/2018 01:17:17",686
"ie","06/28/2018 01:18:53",4882
"ie","06/28/2018 01:27:07",5095
"chrome","06/28/2018 01:28:51",613
"chrome","06/28/2018 01:36:37",890
"ie","06/28/2018 01:37:48",5131
"chrome","06/28/2018 01:46:36",704
"ie","06/28/2018 01:47:47",5179
"ie","06/28/2018 01:56:26",5289
"chrome","06/28/2018 01:58:08",804
"chrome","06/28/2018 02:05:56",711
"ie","06/28/2018 02:07:06",5151
"ie","06/28/2018 02:15:30",5574
"chrome","06/28/2018 02:17:31",665
"ie","06/28/2018 02:25:16",5137
"chrome","06/28/2018 02:27:19",913
"ie","06/28/2018 02:35:04",4882
"chrome","06/28/2018 02:36:47",912
"ie","06/28/2018 02:44:32",5417
"chrome","06/28/2018 02:46:15",787
"chrome","06/28/2018 02:53:56",704
"ie","06/28/2018 02:55:06",4895
"chrome","06/28/2018 03:03:21",780
"ie","06/28/2018 03:04:55",4959
"ie","06/28/2018 03:13:08",4824
"chrome","06/28/2018 03:14:52",608
"ie","06/28/2018 03:22:32",4868
"chrome","06/28/2018 03:24:31",728
"chrome","06/28/2018 03:32:16",609
"ie","06/28/2018 03:33:25",4671
"ie","06/28/2018 03:41:46",4905
"chrome","06/28/2018 03:43:53",783
"ie","06/28/2018 03:51:41",4999
"chrome","06/28/2018 03:53:25",614
"chrome","06/28/2018 04:01:09",878
"ie","06/28/2018 04:02:21",5136
"chrome","06/28/2018 04:10:38",576
"ie","06/28/2018 04:11:51",5141
"ie","06/28/2018 04:20:06",5203
"chrome","06/28/2018 04:22:16",667
"ie","06/28/2018 04:30:01",5335
"chrome","06/28/2018 04:32:02",716
"ie","06/28/2018 04:39:50",4921
"chrome","06/28/2018 04:41:32",699
"chrome","06/28/2018 04:49:22",586
"ie","06/28/2018 04:50:33",5138
"chrome","06/28/2018 04:59:11",641
"ie","06/28/2018 05:00:23",5023
"ie","06/28/2018 05:08:51",5232
"chrome","06/28/2018 05:10:35",836
"ie","06/28/2018 05:18:22",4895
"chrome","06/28/2018 05:20:13",583
"chrome","06/28/2018 05:28:04",799
"ie","06/28/2018 05:29:27",5400
"ie","06/28/2018 05:37:43",4496
"chrome","06/28/2018 05:39:43",704
"chrome","06/28/2018 05:47:29",717
"ie","06/28/2018 05:48:40",4703
"ie","06/28/2018 05:57:04",5081
"chrome","06/28/2018 05:58:47",784
"ie","06/28/2018 06:06:48",4993
"chrome","06/28/2018 06:08:31",705
"ie","06/28/2018 06:16:11",5086
"chrome","06/28/2018 06:17:56",606
"ie","06/28/2018 06:25:34",5088
"chrome","06/28/2018 06:27:36",771
"ie","06/28/2018 06:35:21",5156
"chrome","06/28/2018 06:37:15",623
"chrome","06/28/2018 06:45:01",720
"ie","06/28/2018 06:46:26",4510
"chrome","06/28/2018 06:54:41",719
"ie","06/28/2018 06:55:52",4879
"ie","06/28/2018 07:04:22",4943
"chrome","06/28/2018 07:06:05",630
"ie","06/28/2018 07:14:13",4948
"chrome","06/28/2018 07:15:55",738
"ie","06/28/2018 07:23:34",4843
"chrome","06/28/2018 07:25:15",811
"ie","06/28/2018 07:32:54",5038
"chrome","06/28/2018 07:34:44",711
"ie","06/28/2018 07:42:29",5925
"chrome","06/28/2018 07:44:22",667
"ie","06/28/2018 07:52:06",4435
"chrome","06/28/2018 07:54:02",796
"ie","06/28/2018 08:01:47",4866
"chrome","06/28/2018 08:03:29",677
"ie","06/28/2018 08:11:16",5385
"chrome","06/28/2018 08:13:01",648
"chrome","06/28/2018 08:21:13",674
"ie","06/28/2018 08:22:23",5152
"chrome","06/28/2018 08:30:56",847
"ie","06/28/2018 08:32:06",4827
"ie","06/28/2018 08:40:19",5120
"chrome","06/28/2018 08:42:06",931
"chrome","06/28/2018 08:49:50",693
"ie","06/28/2018 08:51:10",4906
"chrome","06/28/2018 08:59:28",626
"ie","06/28/2018 09:00:33",5161
"chrome","06/28/2018 09:08:50",740
"ie","06/28/2018 09:09:56",4852
"chrome","06/28/2018 09:18:09",594
"ie","06/28/2018 09:19:27",5857
"ie","06/28/2018 09:27:44",5240
"chrome","06/28/2018 09:29:47",769
"ie","06/28/2018 09:37:26",5085
"chrome","06/28/2018 09:39:07",745
"ie","06/28/2018 09:46:52",5342
"chrome","06/28/2018 09:48:34",765
"chrome","06/28/2018 09:56:25",651
"ie","06/28/2018 09:57:30",6262
"ie","06/28/2018 10:05:59",5267
"chrome","06/28/2018 10:08:50",696
"chrome","06/28/2018 10:16:32",766
"ie","06/28/2018 10:17:42",5073
"ie","06/28/2018 10:25:55",5049
"chrome","06/28/2018 10:27:46",766
"chrome","06/28/2018 10:35:27",763
"ie","06/28/2018 10:36:31",5771
