"11/15/2017 14:10:29",2797,"11/15/2017 14:10:32",5760,"11/15/2017 14:10:38","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 14-10-17.png",
"11/15/2017 14:15:03",1724,"11/15/2017 14:15:04",2618,"11/15/2017 14:15:07","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 14-14-25.png",
"11/15/2017 14:22:09",2602,"11/15/2017 14:22:12",7247,"11/15/2017 14:22:19","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 14-21-58.png",
"11/15/2017 14:29:35",2652,"11/15/2017 14:29:38",2885,"11/15/2017 14:29:41","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 14-29-24.png",
"11/15/2017 14:49:07",2598,"11/15/2017 14:49:10",6146,"11/15/2017 14:49:16","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 14-49-00.png",
"11/15/2017 14:56:19",1675,"11/15/2017 14:56:21",180205,"11/15/2017 14:59:21",,
"11/15/2017 15:27:10",2664,"11/15/2017 15:27:12",7887,"11/15/2017 15:27:20","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 15-27-02.png",
"11/15/2017 15:46:15",2564,"11/15/2017 15:46:18",7379,"11/15/2017 15:46:25","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 15-46-08.png",
"11/15/2017 15:53:28",1695,"11/15/2017 15:53:29",180289,"11/15/2017 15:56:30",,
"11/15/2017 16:24:19",2606,"11/15/2017 16:24:21",6898,"11/15/2017 16:24:28","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 16-24-12.png",
"11/15/2017 16:31:37",180987,"11/15/2017 16:34:38",16,"11/15/2017 16:34:38",,
"11/15/2017 16:50:33",2710,"11/15/2017 16:50:36",7260,"11/15/2017 16:50:43","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 16-50-26.png",
"11/15/2017 17:09:33",2717,"11/15/2017 17:09:35",5388,"11/15/2017 17:09:41","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 17-09-25.png",
"11/15/2017 17:16:50",1628,"11/15/2017 17:16:51",180251,"11/15/2017 17:19:52",,
"11/15/2017 17:47:39",5199,"11/15/2017 17:47:45",5737,"11/15/2017 17:47:50","D:\code\cc-script_0.0.3\11256872.3.labs.11-15-2017 17-47-32.png",
"11/15/2017 17:55:00",1919,"11/15/2017 17:55:02",420066,"11/15/2017 18:02:02",,
