"11/17/2017 14:56:39",1558,"11/17/2017 14:56:42",609545,"11/17/2017 15:06:52","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 14-56-28.png",
"11/17/2017 15:09:06",1616,"11/17/2017 15:09:10",9991,"11/17/2017 15:09:20","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-08-55.png",
"11/17/2017 15:16:26",2790,"11/17/2017 15:16:31",31439,"11/17/2017 15:17:02","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-16-15.png",
"11/17/2017 15:24:13",1675,"11/17/2017 15:24:17",9072,"11/17/2017 15:24:26","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-24-03.png",
"11/17/2017 15:31:03",1615,"11/17/2017 15:31:07",8766,"11/17/2017 15:31:16","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-30-53.png",
"11/17/2017 15:38:27",1618,"11/17/2017 15:38:31",640023,"11/17/2017 15:49:11","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-38-16.png",
"11/17/2017 15:56:29",2709,"11/17/2017 15:56:33",10563,"11/17/2017 15:56:44","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 15-56-18.png",
"11/17/2017 16:03:51",1486,"11/17/2017 16:03:54",8851,"11/17/2017 16:04:03","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-03-40.png",
"11/17/2017 16:11:17",2176,"11/17/2017 16:11:22",8754,"11/17/2017 16:11:30","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-11-06.png",
"11/17/2017 16:18:36",1469,"11/17/2017 16:18:39",7931,"11/17/2017 16:18:47","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-18-25.png",
"11/17/2017 16:26:00",1698,"11/17/2017 16:26:03",32472,"11/17/2017 16:26:36","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-25-49.png",
"11/17/2017 16:33:50",2616,"11/17/2017 16:33:55",612079,"11/17/2017 16:44:07","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-33-39.png",
"11/17/2017 16:51:20",1611,"11/17/2017 16:51:23",9341,"11/17/2017 16:51:33","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-51-09.png",
"11/17/2017 16:58:39",1546,"11/17/2017 16:58:42",638374,"11/17/2017 17:09:21","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 16-58-27.png",
"11/17/2017 17:16:39",2890,"11/17/2017 17:16:43",12096,"11/17/2017 17:16:56","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 17-16-28.png",
"11/17/2017 17:24:01",1626,"11/17/2017 17:24:05",7281,"11/17/2017 17:24:12","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 17-23-51.png",
"11/17/2017 17:31:24",1720,"11/17/2017 17:31:27",8242,"11/17/2017 17:31:36","D:\code\cc-script_0.0.5\rp1.3.labs.11-17-2017 17-31-13.png",
